   1 & 0.10 & 0.10 &   100 & 1604 & 1180 & 1107.67 \\ \hline
   2 & 0.10 & 0.10 &   200 & 1180 &  609 & 510.80 \\ \hline
   3 & 0.10 & 0.10 &   500 &  947 &    0 & 323.93 \\ \hline
   4 & 0.10 & 0.10 &  1000 &  609 &    0 & 40.60 \\ \hline
   5 & 0.10 & 0.10 &  2000 &  609 &    0 & 40.60 \\ \hline
   6 & 0.10 & 0.25 &   100 & 2418 & 1196 & 1096.07 \\ \hline
   7 & 0.10 & 0.25 &   200 & 1885 & 1094 & 983.87 \\ \hline
   8 & 0.10 & 0.25 &   500 & 1251 &    0 & 349.53 \\ \hline
   9 & 0.10 & 0.25 &  1000 &  867 &    0 & 196.80 \\ \hline
  10 & 0.10 & 0.25 &  2000 &  609 &    0 & 81.20 \\ \hline
  11 & 0.10 & 0.50 &   100 & 2057 & 1251 & 1230.60 \\ \hline
  12 & 0.10 & 0.50 &   200 & 1525 &  867 & 826.93 \\ \hline
  13 & 0.10 & 0.50 &   500 & 1180 &    0 & 331.20 \\ \hline
  14 & 0.10 & 0.50 &  1000 &  867 &    0 & 57.80 \\ \hline
  15 & 0.10 & 0.50 &  2000 &    0 &    0 &  0.00 \\ \hline
  16 & 0.10 & 0.75 &   100 & 2002 & 1180 & 1027.47 \\ \hline
  17 & 0.10 & 0.75 &   200 & 1442 &  867 & 743.27 \\ \hline
  18 & 0.10 & 0.75 &   500 &  867 &    0 & 260.80 \\ \hline
  19 & 0.10 & 0.75 &  1000 & 1180 &    0 & 119.27 \\ \hline
  20 & 0.10 & 0.75 &  2000 &    0 &    0 &  0.00 \\ \hline
  21 & 0.10 & 0.90 &   100 & 2057 & 1251 & 1066.53 \\ \hline
  22 & 0.10 & 0.90 &   200 & 1465 &  609 & 621.80 \\ \hline
  23 & 0.10 & 0.90 &   500 & 1094 &  609 & 447.27 \\ \hline
  24 & 0.10 & 0.90 &  1000 &  867 &    0 & 98.40 \\ \hline
  25 & 0.10 & 0.90 &  2000 &    0 &    0 &  0.00 \\ \hline
  26 & 0.25 & 0.10 &   100 & 2652 & 1251 & 1370.07 \\ \hline
  27 & 0.25 & 0.10 &   200 & 2105 &  867 & 854.53 \\ \hline
  28 & 0.25 & 0.10 &   500 & 1251 &  609 & 706.93 \\ \hline
  29 & 0.25 & 0.10 &  1000 &  867 &    0 & 312.40 \\ \hline
  30 & 0.25 & 0.10 &  2000 &  947 &    0 & 161.53 \\ \hline
  31 & 0.25 & 0.25 &   100 & 2397 & 1180 & 1197.20 \\ \hline
  32 & 0.25 & 0.25 &   200 & 1845 & 1180 & 1193.47 \\ \hline
  33 & 0.25 & 0.25 &   500 & 1180 &  867 & 601.33 \\ \hline
  34 & 0.25 & 0.25 &  1000 & 1180 &  609 & 502.53 \\ \hline
  35 & 0.25 & 0.25 &  2000 &  609 &    0 & 40.60 \\ \hline
  36 & 0.25 & 0.50 &   100 & 2503 & 1525 & 1421.73 \\ \hline
  37 & 0.25 & 0.50 &   200 & 1993 & 1251 & 1170.20 \\ \hline
  38 & 0.25 & 0.50 &   500 & 1251 &  609 & 439.67 \\ \hline
  39 & 0.25 & 0.50 &  1000 & 1094 &    0 & 249.60 \\ \hline
  40 & 0.25 & 0.50 &  2000 &  609 &    0 & 81.20 \\ \hline
  41 & 0.25 & 0.75 &   100 & 2328 & 1525 & 1456.33 \\ \hline
  42 & 0.25 & 0.75 &   200 & 1666 & 1094 & 984.33 \\ \hline
  43 & 0.25 & 0.75 &   500 & 1180 &  609 & 442.33 \\ \hline
  44 & 0.25 & 0.75 &  1000 & 1094 &    0 & 420.93 \\ \hline
  45 & 0.25 & 0.75 &  2000 &  947 &    0 & 144.33 \\ \hline
  46 & 0.25 & 0.90 &   100 & 2328 & 1180 & 1279.13 \\ \hline
  47 & 0.25 & 0.90 &   200 & 1845 & 1196 & 979.13 \\ \hline
  48 & 0.25 & 0.90 &   500 & 1094 &    0 & 388.60 \\ \hline
  49 & 0.25 & 0.90 &  1000 &  947 &    0 & 178.73 \\ \hline
  50 & 0.25 & 0.90 &  2000 &  609 &    0 & 162.40 \\ \hline
  51 & 0.50 & 0.10 &   100 & 3568 & 2127 & 2050.47 \\ \hline
  52 & 0.50 & 0.10 &   200 & 3012 & 2016 & 1723.07 \\ \hline
  53 & 0.50 & 0.10 &   500 & 2460 &  947 & 1067.20 \\ \hline
  54 & 0.50 & 0.10 &  1000 & 1729 &  947 & 766.60 \\ \hline
  55 & 0.50 & 0.10 &  2000 & 1655 &  609 & 722.33 \\ \hline
  56 & 0.50 & 0.25 &   100 & 3104 & 2397 & 2248.67 \\ \hline
  57 & 0.50 & 0.25 &   200 & 3123 & 1525 & 1660.73 \\ \hline
  58 & 0.50 & 0.25 &   500 & 2034 &  947 & 905.33 \\ \hline
  59 & 0.50 & 0.25 &  1000 & 1757 &  947 & 949.80 \\ \hline
  60 & 0.50 & 0.25 &  2000 & 1251 &  609 & 554.07 \\ \hline
  61 & 0.50 & 0.50 &   100 & 3401 & 2293 & 2135.53 \\ \hline
  62 & 0.50 & 0.50 &   200 & 3183 & 1885 & 1868.60 \\ \hline
  63 & 0.50 & 0.50 &   500 & 2258 & 1094 & 1051.80 \\ \hline
  64 & 0.50 & 0.50 &  1000 & 1525 &  609 & 597.67 \\ \hline
  65 & 0.50 & 0.50 &  2000 & 1313 &  609 & 629.87 \\ \hline
  66 & 0.50 & 0.75 &   100 & 3262 & 2120 & 2032.67 \\ \hline
  67 & 0.50 & 0.75 &   200 & 2718 & 1885 & 1760.00 \\ \hline
  68 & 0.50 & 0.75 &   500 & 2010 & 1180 & 1091.60 \\ \hline
  69 & 0.50 & 0.75 &  1000 & 1525 &  867 & 774.53 \\ \hline
  70 & 0.50 & 0.75 &  2000 & 1465 &  947 & 742.93 \\ \hline
  71 & 0.50 & 0.90 &   100 & 3672 & 2559 & 2537.33 \\ \hline
  72 & 0.50 & 0.90 &   200 & 3123 & 1915 & 1828.13 \\ \hline
  73 & 0.50 & 0.90 &   500 & 2590 & 1251 & 1234.60 \\ \hline
  74 & 0.50 & 0.90 &  1000 & 1655 &  867 & 847.07 \\ \hline
  75 & 0.50 & 0.90 &  2000 & 1260 &  609 & 428.20 \\ \hline
  76 & 0.75 & 0.10 &   100 & 5723 & 3216 & 3511.00 \\ \hline
  77 & 0.75 & 0.10 &   200 & 4835 & 3024 & 3115.20 \\ \hline
  78 & 0.75 & 0.10 &   500 & 3198 & 2065 & 2061.80 \\ \hline
  79 & 0.75 & 0.10 &  1000 & 3365 & 1845 & 1628.47 \\ \hline
  80 & 0.75 & 0.10 &  2000 & 2057 & 1393 & 1360.20 \\ \hline
  81 & 0.75 & 0.25 &   100 & 5683 & 3490 & 3508.87 \\ \hline
  82 & 0.75 & 0.25 &   200 & 5555 & 2354 & 2458.93 \\ \hline
  83 & 0.75 & 0.25 &   500 & 3215 & 2590 & 2405.53 \\ \hline
  84 & 0.75 & 0.25 &  1000 & 3542 & 2016 & 1788.00 \\ \hline
  85 & 0.75 & 0.25 &  2000 & 2560 & 1525 & 1400.20 \\ \hline
  86 & 0.75 & 0.50 &   100 & 5270 & 3365 & 3522.53 \\ \hline
  87 & 0.75 & 0.50 &   200 & 4508 & 2780 & 2897.93 \\ \hline
  88 & 0.75 & 0.50 &   500 & 3547 & 2420 & 2307.67 \\ \hline
  89 & 0.75 & 0.50 &  1000 & 2590 & 1757 & 1593.80 \\ \hline
  90 & 0.75 & 0.50 &  2000 & 2034 & 1251 & 1268.40 \\ \hline
  91 & 0.75 & 0.75 &   100 & 5904 & 4186 & 4146.27 \\ \hline
  92 & 0.75 & 0.75 &   200 & 4701 & 2934 & 2853.00 \\ \hline
  93 & 0.75 & 0.75 &   500 & 3792 & 2420 & 2505.27 \\ \hline
  94 & 0.75 & 0.75 &  1000 & 3251 & 2120 & 1959.60 \\ \hline
  95 & 0.75 & 0.75 &  2000 & 2200 & 1381 & 1379.07 \\ \hline
  96 & 0.75 & 0.90 &   100 & 4905 & 3287 & 3363.93 \\ \hline
  97 & 0.75 & 0.90 &   200 & 5216 & 2998 & 3245.33 \\ \hline
  98 & 0.75 & 0.90 &   500 & 2957 & 2204 & 2066.33 \\ \hline
  99 & 0.75 & 0.90 &  1000 & 3625 & 1987 & 2074.67 \\ \hline
 100 & 0.75 & 0.90 &  2000 & 2370 & 1381 & 1398.80 \\ \hline
 101 & 0.90 & 0.10 &   100 & 7111 & 5188 & 5065.67 \\ \hline
 102 & 0.90 & 0.10 &   200 & 6554 & 3380 & 3701.27 \\ \hline
 103 & 0.90 & 0.10 &   500 & 4429 & 3501 & 3127.20 \\ \hline
 104 & 0.90 & 0.10 &  1000 & 4414 & 2319 & 2554.20 \\ \hline
 105 & 0.90 & 0.10 &  2000 & 3227 & 2002 & 1940.47 \\ \hline
 106 & 0.90 & 0.25 &   100 & 7245 & 3754 & 4124.27 \\ \hline
 107 & 0.90 & 0.25 &   200 & 6412 & 3770 & 3792.40 \\ \hline
 108 & 0.90 & 0.25 &   500 & 5198 & 3344 & 3155.93 \\ \hline
 109 & 0.90 & 0.25 &  1000 & 3910 & 2503 & 2516.53 \\ \hline
 110 & 0.90 & 0.25 &  2000 & 3483 & 2460 & 2248.20 \\ \hline
 111 & 0.90 & 0.50 &   100 & 7462 & 5429 & 5238.87 \\ \hline
 112 & 0.90 & 0.50 &   200 & 6376 & 4853 & 4458.73 \\ \hline
 113 & 0.90 & 0.50 &   500 & 5038 & 3135 & 2938.40 \\ \hline
 114 & 0.90 & 0.50 &  1000 & 3823 & 2578 & 2469.67 \\ \hline
 115 & 0.90 & 0.50 &  2000 & 3227 & 2168 & 2096.13 \\ \hline
 116 & 0.90 & 0.75 &   100 & 6585 & 5596 & 5021.93 \\ \hline
 117 & 0.90 & 0.75 &   200 & 6263 & 4288 & 4047.20 \\ \hline
 118 & 0.90 & 0.75 &   500 & 5247 & 2665 & 2919.80 \\ \hline
 119 & 0.90 & 0.75 &  1000 & 3766 & 2780 & 2747.00 \\ \hline
 120 & 0.90 & 0.75 &  2000 & 2919 & 2016 & 1849.87 \\ \hline
 121 & 0.90 & 0.90 &   100 & 6872 & 4864 & 4924.87 \\ \hline
 122 & 0.90 & 0.90 &   200 & 5618 & 4489 & 4242.60 \\ \hline
 123 & 0.90 & 0.90 &   500 & 4458 & 2934 & 3103.67 \\ \hline
 124 & 0.90 & 0.90 &  1000 & 3709 & 2065 & 2154.27 \\ \hline
 125 & 0.90 & 0.90 &  2000 & 3579 & 2067 & 2167.93 \\ \hline
